id,session_id,visited_at,photo_name,photo_index,event_type,duration_seconds,recipient_tag,device_type,ipv4,visit_id,zoom_pct
837,qdsciyuylmo3vl12l,2026-04-18 05:09:23.438+00,photo2.jpeg,1,zoom,269,ghazala-firdaus,Mobile,,,269
838,qdsciyuylmo3vl12l,2026-04-18 05:09:25.82+00,photo2.jpeg,1,zoom,395,ghazala-firdaus,Mobile,,,395
839,qdsciyuylmo3vl12l,2026-04-18 05:09:26.784+00,photo2.jpeg,1,zoom,232,ghazala-firdaus,Mobile,,,232
840,qdsciyuylmo3vl12l,2026-04-18 05:09:27.569+00,photo2.jpeg,1,view_end,6,ghazala-firdaus,Mobile,,,395
841,qdsciyuylmo3vl12l,2026-04-18 07:45:14.836+00,photo1.jpeg,0,view,0,ghazala-firdaus2,Mobile,,,0
842,qdsciyuylmo3vl12l,2026-04-18 07:45:16.957+00,photo1.jpeg,0,view_end,2,ghazala-firdaus2,Mobile,,,0
843,qdsciyuylmo3vl12l,2026-04-18 07:45:16.961+00,photo2.jpeg,1,view,0,ghazala-firdaus2,Mobile,,,0
844,qdsciyuylmo3vl12l,2026-04-18 07:45:18.948+00,photo2.jpeg,1,zoom,209,ghazala-firdaus2,Mobile,,,209
845,qdsciyuylmo3vl12l,2026-04-18 07:45:21.917+00,photo2.jpeg,1,zoom,318,ghazala-firdaus2,Mobile,,,318
846,qdsciyuylmo3vl12l,2026-04-18 07:45:24.321+00,photo2.jpeg,1,zoom,266,ghazala-firdaus2,Mobile,,,266
847,qdsciyuylmo3vl12l,2026-04-18 07:45:26.283+00,photo2.jpeg,1,zoom,172,ghazala-firdaus2,Mobile,,,172
848,qdsciyuylmo3vl12l,2026-04-18 07:45:27.412+00,photo2.jpeg,1,zoom,184,ghazala-firdaus2,Mobile,,,184
849,qdsciyuylmo3vl12l,2026-04-18 07:45:29.617+00,photo2.jpeg,1,zoom,300,ghazala-firdaus2,Mobile,,,300
850,qdsciyuylmo3vl12l,2026-04-18 07:45:30.636+00,photo2.jpeg,1,zoom,206,ghazala-firdaus2,Mobile,,,206
851,qdsciyuylmo3vl12l,2026-04-18 07:45:31.072+00,photo2.jpeg,1,view_end,14,ghazala-firdaus2,Mobile,,,318
852,qdsciyuylmo3vl12l,2026-04-18 07:45:31.076+00,photo1.jpeg,0,view,0,ghazala-firdaus2,Mobile,,,0
853,qdsciyuylmo3vl12l,2026-04-18 07:45:33.994+00,photo1.jpeg,0,zoom,168,ghazala-firdaus2,Mobile,,,168
854,qdsciyuylmo3vl12l,2026-04-18 07:45:36.254+00,photo1.jpeg,0,zoom,206,ghazala-firdaus2,Mobile,,,206
855,qdsciyuylmo3vl12l,2026-04-18 07:45:37.71+00,photo1.jpeg,0,view_end,7,ghazala-firdaus2,Mobile,,,206
856,qdsciyuylmo3vl12l,2026-04-18 07:45:37.713+00,photo2.jpeg,1,view,0,ghazala-firdaus2,Mobile,,,0
857,qdsciyuylmo3vl12l,2026-04-18 07:45:39.067+00,photo2.jpeg,1,zoom,214,ghazala-firdaus2,Mobile,,,214
858,qdsciyuylmo3vl12l,2026-04-18 07:45:40.521+00,photo2.jpeg,1,view_end,3,ghazala-firdaus2,Mobile,,,214
